# AVL-BASIC built-in functions, constants, MAT helpers, and named operators.
# topic<TAB>aliases<TAB>syntax<TAB>parameters<TAB>summary<TAB>related
# Numeric functions and constants
ABS		ABS(number)	number: numeric expression	Returns the absolute value.	SGN
INT		INT(number)	number: numeric expression	Rounds down to the nearest integer.	FIX,ROUND
FIX		FIX(number)	number: numeric expression	Truncates toward zero.	INT,ROUND
SGN		SGN(number)	number: numeric expression	Returns -1, 0, or 1 according to the sign.	ABS
FRAC		FRAC(number)	number: numeric expression	Returns the signed fractional part.	FIX
ROUND		ROUND(number[, digits])	number: numeric expression; digits: optional decimal places, default 0	Rounds halves away from zero.	INT,FIX
SQR		SQR(number)	number: non-negative numeric expression	Returns the square root.	EXP
LOG		LOG(number)	number: positive numeric expression	Returns the natural logarithm.	LOG10,EXP
LOG10		LOG10(number)	number: positive numeric expression	Returns the base-10 logarithm.	LOG,EXP
EXP		EXP(number)	number: numeric expression	Returns e raised to the given power.	LOG
SIN		SIN(angle)	angle: angle in the active DEG or RAD mode	Returns the sine.	COS,TAN,ASN
COS		COS(angle)	angle: angle in the active DEG or RAD mode	Returns the cosine.	SIN,TAN,ACS
TAN		TAN(angle)	angle: angle in the active DEG or RAD mode	Returns the tangent.	SIN,COS,ATN,COT
ASN		ASN(number)	number: value from -1 to 1	Returns the arcsine in the active DEG or RAD mode.	SIN,ACS,ATN
ACS		ACS(number)	number: value from -1 to 1	Returns the arccosine in the active DEG or RAD mode.	COS,ASN,ATN
ATN		ATN(number)	number: numeric expression	Returns the arctangent in the active DEG or RAD mode.	TAN,ASN,ACS
COT		COT(angle)	angle: angle in the active DEG or RAD mode	Returns the cotangent.	TAN
RTD		RTD(radians)	radians: angle in radians	Converts radians to degrees without changing the angle mode.	DTR
DTR		DTR(degrees)	degrees: angle in degrees	Converts degrees to radians without changing the angle mode.	RTD
PI		PI	-	Returns the mathematical constant pi.	SIN,COS
INF		INF	-	Represents positive infinity for open-ended numeric limits.	-
RND		RND	-	Returns a uniformly distributed number in the range [0,1).	RANDOMIZE
TIME		TIME	-	Returns seconds since the Unix epoch.	PAUSE
MIN		MIN(number[, number...])	number: one or more numeric expressions	Returns the smallest argument.	MAX
MAX		MAX(number[, number...])	number: one or more numeric expressions	Returns the largest argument.	MIN
VAL		VAL(text$)	text$: string beginning with a decimal, &H, or &X number	Converts the leading numeric text to a number.	STR$,BIN$,HEX$

# String functions
LEN		LEN(text$)	text$: string expression	Returns the number of characters.	LEFT$,RIGHT$,MID$
INSTR		INSTR(text$, find$) || INSTR(start, text$, find$)	start: optional 1-based search position; text$: string to search; find$: substring to find	Returns the 1-based position of a substring, or 0.	LEFT$,RIGHT$,MID$
ASC		ASC(text$)	text$: non-empty string expression	Returns the code of the first character.	CHR$
CHR$		CHR$(code)	code: valid character code	Returns the character for a code.	ASC
LEFT$		LEFT$(text$, length)	text$: string expression; length: nonnegative character count	Returns the leftmost characters; zero returns an empty string.	RIGHT$,MID$
RIGHT$		RIGHT$(text$, length)	text$: string expression; length: nonnegative character count	Returns the rightmost characters; zero returns an empty string.	LEFT$,MID$
MID$		MID$(text$, start[, length])	text$: string expression; start: 1-based position, at least 1; length: optional nonnegative character count	Returns characters from a position.	LEFT$,RIGHT$,INSTR
STR$		STR$(number)	number: numeric expression	Converts a number to its compact display form.	VAL,DEC$
BIN$		BIN$(number[, width])	number: integer value; width: optional exact bit width, truncating higher bits	Returns an uppercase binary representation without a prefix.	HEX$,VAL
HEX$		HEX$(number[, width])	number: integer value; width: optional exact digit width, truncating higher bits	Returns an uppercase hexadecimal representation without a prefix.	BIN$,VAL
DEC$		DEC$(number, format$)	number: numeric expression; format$: PRINT USING mask	Formats a number as a string.	STR$,PRINT
UPPER$		UPPER$(text$)	text$: string expression	Converts ASCII letters to uppercase.	LOWER$
LOWER$		LOWER$(text$)	text$: string expression	Converts ASCII letters to lowercase.	UPPER$
SPACE$		SPACE$(length)	length: nonnegative number of spaces	Returns a string of spaces; zero returns an empty string.	STRING$
STRING$		STRING$(length, character) || STRING$(length, code)	length: nonnegative repetition count; character: non-empty string supplying its first character; code: valid character code	Returns a repeated-character string; zero returns an empty string.	SPACE$,CHR$
TRIM$		TRIM$(text$)	text$: string expression	Removes leading and trailing whitespace.	-

# Array and matrix functions
LBOUND	LBND	LBOUND(array[, dimension]) || LBND(array[, dimension])	array: array name; dimension: optional 1-based dimension, default 1 (LBND rounds it and accepts only 1D/2D arrays)	Returns the inclusive lower bound selected by MAT BASE.	UBOUND,MAT BASE
UBOUND	UBND	UBOUND(array[, dimension]) || UBND(array[, dimension])	array: array name; dimension: optional 1-based dimension, default 1 (UBND rounds it and accepts only 1D/2D arrays)	Returns the inclusive upper bound of a dimension.	LBOUND,DIM
DET		DET(array)	array: square numeric matrix name	Returns the determinant of the active MAT BASE block.	INV,MAT
ABSUM		ABSUM(array)	array: numeric array name	Returns the sum of the absolute element values.	SUM,FNORM
AMAX		AMAX(array)	array: numeric array name	Returns the largest element and records its position.	AMAXCOL,AMAXROW,AMIN
AMAXCOL		AMAXCOL	-	Returns the column recorded by the last successful AMAX.	AMAX,AMAXROW
AMAXROW		AMAXROW	-	Returns the row recorded by the last successful AMAX.	AMAX,AMAXCOL
AMIN		AMIN(array)	array: numeric array name	Returns the smallest element and records its position.	AMINCOL,AMINROW,AMAX
AMINCOL		AMINCOL	-	Returns the column recorded by the last successful AMIN.	AMIN,AMINROW
AMINROW		AMINROW	-	Returns the row recorded by the last successful AMIN.	AMIN,AMINCOL
CNORM		CNORM(array)	array: numeric array name	Returns the largest absolute column sum and records its column.	CNORMCOL,RNORM,FNORM
CNORMCOL		CNORMCOL	-	Returns the column recorded by the last successful CNORM.	CNORM
DOT		DOT(vector1, vector2)	vector1: numeric vector name; vector2: compatible numeric vector name	Returns the dot product of two vectors.	FNORM
FNORM		FNORM(array)	array: numeric array name	Returns the Frobenius norm.	CNORM,RNORM,ABSUM
MAXAB		MAXAB(array)	array: numeric array name	Returns the largest absolute element and records its position.	MAXABCOL,MAXABROW,ABSUM
MAXABCOL		MAXABCOL	-	Returns the column recorded by the last successful MAXAB.	MAXAB,MAXABROW
MAXABROW		MAXABROW	-	Returns the row recorded by the last successful MAXAB.	MAXAB,MAXABCOL
RNORM		RNORM(array)	array: numeric array name	Returns the largest absolute row sum and records its row.	RNORMROW,CNORM,FNORM
RNORMROW		RNORMROW	-	Returns the row recorded by the last successful RNORM.	RNORM
SUM		SUM(array)	array: numeric array name	Returns the algebraic sum of all elements.	ABSUM
ZER		MAT target = ZER	target: previously dimensioned numeric array	Fills a MAT destination with zeroes.	CON,IDN,MAT
CON		MAT target = CON	target: previously dimensioned numeric array	Fills a MAT destination with ones.	ZER,IDN,MAT
IDN		MAT target = IDN	target: previously dimensioned square numeric array	Fills a MAT destination with the identity matrix.	ZER,CON,MAT BASE
TRN		MAT target = TRN(array)	target: destination array; array: two-dimensional numeric array name	Assigns the matrix transpose.	INV,MAT
INV		MAT target = INV(array)	target: destination array; array: square numeric matrix name	Assigns the matrix inverse.	DET,TRN,MAT

# Graphics, screen, and sprite functions
WIDTH		WIDTH	-	Returns the graphics window width in pixels.	HEIGHT
HEIGHT		HEIGHT	-	Returns the graphics window height in pixels.	WIDTH
XMIN		XMIN	-	Returns the active scale's minimum X coordinate.	XMAX,YMIN,YMAX,BORDER
XMAX		XMAX	-	Returns the active scale's maximum X coordinate.	XMIN,YMIN,YMAX,BORDER
YMIN		YMIN	-	Returns the active scale's minimum Y coordinate.	YMAX,XMIN,XMAX,BORDER
YMAX		YMAX	-	Returns the active scale's maximum Y coordinate.	YMIN,XMIN,XMAX,BORDER
BORDER		BORDER	-	Returns the active SCALE border in pixels.	XMIN,XMAX,YMIN,YMAX,SCALE
XPOS		XPOS	-	Returns the graphics cursor's X coordinate.	YPOS,MOVE
YPOS		YPOS	-	Returns the graphics cursor's Y coordinate.	XPOS,MOVE
HPOS		HPOS	-	Returns the graphics text cursor column.	VPOS,LOCATE
VPOS		VPOS	-	Returns the graphics text cursor row.	HPOS,LOCATE
RGB		RGB(color) || RGB(r, g, b)	color: palette index, packed RGB number, RGB string, or Tk color name; r: red component 0..255; g: green component 0..255; b: blue component 0..255	Returns a packed numeric RGB color.	RGB$,INK,PAPER
RGB$		RGB$(color) || RGB$(r, g, b)	color: palette index, packed RGB number, RGB string, or Tk color name; r: red component 0..255; g: green component 0..255; b: blue component 0..255	Returns a normalized "r,g,b" string.	RGB
TEST		TEST(x, y)	x: logical X coordinate; y: logical Y coordinate	Returns the pixel color at a graphics coordinate.	RGB,TESTCHR$
TESTCHR$		TESTCHR$ || TESTCHR$(column, row)	column: optional text column; row: optional text row	Returns the character recognized in a graphics text cell, or an empty string.	GPRINT,LOCATE,HPOS,VPOS
SCREEN$		SCREEN$	-	Captures the current graphics window as a graphics string.	SCREEN,SPRITE$,BSAVE,BLOAD
SPRITE$		SPRITE$(x1, y1, x2, y2)	x1: first logical X coordinate; y1: first logical Y coordinate; x2: opposite logical X coordinate; y2: opposite logical Y coordinate	Captures a rectangular graphics region as a sprite string.	SPRITE,SCREEN$
HIT		HIT	-	Returns -1 if the last SPRITE operation detected any collision, otherwise 0.	HITCOLOR,HITSPRITE,HITID,SPRITE
HITCOLOR		HITCOLOR	-	Returns the color detected by the last SPRITE operation, or 0.	HIT,SPRITE,COLCOLOR
HITSPRITE		HITSPRITE	-	Returns -1 if the last SPRITE operation detected another sprite, otherwise 0.	HIT,HITID,SPRITE
HITID		HITID	-	Returns the first collided sprite identifier, or 0.	HIT,HITSPRITE,SPRITE

# Input, mouse, timers, errors, and system
INKEY$		INKEY$	-	Returns one pending discrete key press, or an empty string.	KEYDOWN,CLEAR INPUT
KEYDOWN		KEYDOWN(code)	code: normalized key code from 0 to 255	Returns -1 while the key is held down, otherwise 0.	INKEY$
MOUSEX		MOUSEX	-	Returns the mouse pointer's logical X coordinate.	MOUSEY,ON MOUSE
MOUSEY		MOUSEY	-	Returns the mouse pointer's logical Y coordinate.	MOUSEX,ON MOUSE
MOUSELEFT		MOUSELEFT	-	Returns -1 while the left mouse button is pressed, otherwise 0.	MOUSERIGHT,ON MOUSE
