# AVL-BASIC brief HELP catalog: statements and immediate commands.
# topic<TAB>aliases<TAB>syntax variants<TAB>parameters<TAB>summary<TAB>related topics

# Program flow and error handling
REM	'	REM text || ' text	text: Comment text	Ignores the rest of the line.	-
IF		IF condition GOTO line [ELSE clause] || IF condition THEN clause [ELSE clause] || IF condition THEN	condition: Numeric expression; line: Target line; clause: Line number or statements	Executes a branch when the condition is nonzero.	ELSEIF,ELSE,END IF
ELSEIF	ELSE IF	ELSEIF condition THEN || ELSE IF condition THEN	condition: Numeric expression	Starts another conditional branch in a block IF.	IF,ELSE,END IF
ELSE		ELSE	-	Starts the fallback branch of a block IF.	IF,ELSEIF,END IF
END IF	ENDIF	END IF || ENDIF	-	Ends a block IF.	IF,ELSEIF,ELSE
FOR		FOR variable = start TO end [STEP increment]	variable: Numeric control variable; start: Initial value; end: Final value; increment: Optional step value	Starts a counted loop.	NEXT,EXIT FOR
NEXT		NEXT [variable]	variable: Optional control variable	Advances or ends the current FOR loop.	FOR,EXIT FOR
EXIT FOR		EXIT FOR	-	Leaves the current FOR loop.	FOR,NEXT
WHILE		WHILE condition	condition: Numeric expression	Starts a loop that continues while the condition is nonzero.	WEND,EXIT WHILE
WEND		WEND	-	Ends the current WHILE loop.	WHILE,EXIT WHILE
EXIT WHILE		EXIT WHILE	-	Leaves the current WHILE loop.	WHILE,WEND
GOTO		GOTO line	line: Target line number	Jumps to a program line.	GOSUB,ON GOTO
GOSUB		GOSUB line	line: Subroutine line number	Calls a line-numbered subroutine.	RETURN,ON GOSUB
RETURN		RETURN	-	Returns from the most recent GOSUB or interrupt routine.	GOSUB
ON GOTO		ON selector GOTO line1,line2[,...]	selector: One-based target index; line1: First target line; line2: Additional target lines	Selects one of several GOTO targets.	GOTO,ON GOSUB
ON GOSUB		ON selector GOSUB line1,line2[,...]	selector: One-based target index; line1: First subroutine line; line2: Additional subroutine lines	Selects one of several GOSUB targets.	GOSUB,ON GOTO
ON ERROR		ON ERROR GOTO line || ON ERROR GOTO 0 || ON ERROR RESUME NEXT	line: Error-handler line	Installs, disables, or replaces the runtime error handler.	ERROR,RESUME,ERR,ERL
ERROR		ERROR number	number: BASIC error number	Raises the specified runtime error.	ON ERROR,RESUME,ERR
RESUME		RESUME || RESUME NEXT || RESUME line	line: Optional continuation line	Continues execution after a handled error.	ON ERROR,ERROR,ERL
STOP		STOP	-	Stops the program while preserving a resumable execution context.	CONT,END
CONT		CONT	-	Resumes a program stopped by STOP or Ctrl+C.	STOP,RUN
END		END	-	Ends program execution without preserving a continuation.	STOP

# Data, variables, matrices, and routines
LET		LET target[=target...]=value || target[=target...]=value	target: Variable or array element; value: Assigned expression	Assigns one value to one or more variables.	SWAP,DIM
MID$ ASSIGNMENT		MID$(text$,position[,length]) = replacement$	text$: String variable; position: One-based start position; length: Optional number of characters; replacement$: Replacement text	Replaces part of a string variable.	MID$,LET
DIM		DIM array(bound1[,bound2...])[,array(...)]	array: Array name; bound1: Inclusive upper bound; bound2: Additional inclusive bounds	Creates one or more arrays.	REDIM,CLEAR
